AB_CLIENT_ID,AB_NOM,AB_PRENOM,AB_DATE_NAISSANCE,AB_EMAIL,AB_TELEPHONE,AB_ADRESSE,AB_CODE_POSTAL,AB_NUM_FISCAL,AB_DATE_CREATION,AB_STATUT_CLIENT
20,Diaz,Zoé,2006-08-04,zoé.diaz@bouygtel.fr,03 79 47 14 34,"28, rue Grondin",49810,FR231665876,2022-03-05 16:32:57,SUSPENDU
21,De Oliveira,Lucas,1938-04-20,lucas.de oliveira@ifrance.com,06 80 54 66 88,"47, avenue Claire Leroy",49444,FR627298069,2026-06-12 17:47:51,SUSPENDU
22,Michel,Margaud,1993-12-23,margaud.michel@hotmail.fr,+33 6 35 20 46 53,"75, avenue Philippe Faure",60119,FR805310033,2021-10-26 13:19:31,SUSPENDU
23,Brunet,Laurence,1952-10-27,laurence.brunet@orange.fr,02 48 93 74 52,"512, boulevard Michel",39689,FR663193149,2022-09-04 08:12:02,INACTIF
24,Moreno,Stéphanie,1982-11-24,stéphanie.moreno@gmail.com,04 99 18 50 67,chemin Luce Jacques,90256,FR628498776,2023-12-06 02:42:11,SUSPENDU
25,Moulin,Tristan,1973-08-09,tristan.moulin@hotmail.fr,03 81 79 96 50,"82, chemin Poirier",43386,FR948083136,2025-10-20 04:41:09,ACTIF
26,Thierry,Frédérique,2000-06-09,frédérique.thierry@orange.fr,,"957, chemin de Lamy",95663,FR557444313,2024-04-30 14:38:28,INACTIF
27,Bernier,Georges,1961-09-17,georges.bernier@free.fr,+33 6 99 49 89 41,"63, chemin Garcia",90646,FR240084271,2021-10-01 08:15:20,SUSPENDU
28,Jacquet,Henriette,2000-10-18,henriette.jacquet@tiscali.fr,04 83 20 47 11,"11, rue Thibault",38187,FR318699938,2024-11-18 00:43:21,SUSPENDU
29,Pichon,Catherine,1994-01-03,catherine.pichon@club-internet.fr,0181913341,"92, rue Bernard",52561,FR974034471,2023-08-19 11:01:16,SUSPENDU
30,Toussaint,Rémy,1993-07-03,rémy.toussaint@sfr.fr,+33 (0)3 69 24 21 02,"894, avenue Lagarde",38816,FR648877190,2025-04-27 12:04:23,ACTIF
31,Breton,Nathalie,1939-03-01,nathalie.breton@bouygtel.fr,+33 (0)3 71 99 04 90,"88, rue Isabelle Nguyen",81933,FR717565512,2024-06-13 21:37:29,SUSPENDU
32,Lemonnier,Antoinette,1974-11-14,antoinette.lemonnier@tiscali.fr,01 64 71 54 51,"808, rue Laurent Paul",46737,FR770348247,2025-10-08 04:24:44,INACTIF
33,Leroy,Gérard,1957-03-14,gérard.leroy@orange.fr,0144861317,rue de Didier,91398,FR846773782,2024-11-27 23:55:39,ACTIF
34,Joseph,Laurent,1954-03-22,laurent.joseph@wanadoo.fr,+33 (0)4 27 65 84 04,"89, avenue Tanguy",61453,FR588675339,2024-11-26 02:03:26,ACTIF
35,Diallo,Nicolas,1941-08-01,nicolas.diallo@noos.fr,0666627028,"81, boulevard Pineau",02839,FR262174596,2022-04-30 18:25:31,ACTIF
36,Boulanger,Dominique,1978-09-28,dominique.boulanger@ifrance.com,01 64 91 34 31,"2, rue Marine Ribeiro",04147,FR504556238,2025-02-24 10:29:10,ACTIF
37,Normand,Geneviève,1958-10-11,geneviève.normand@free.fr,+33 2 28 96 93 79,"57, chemin Margot Petit",59394,FR821759464,2025-07-13 13:49:40,INACTIF
38,Hernandez,Camille,1988-01-01,camille.hernandez@sfr.fr,02 44 36 95 94,"70, rue Geneviève Torres",97416,FR974395339,2023-10-11 21:46:10,ACTIF
39,Faivre,Margaret,1948-11-13,margaret.faivre@laposte.net,+33 (0)4 67 70 95 21,"36, rue Gimenez",46643,FR842474517,2022-04-15 04:24:30,SUSPENDU
40,Faivre,Guy,1989-09-24,guy.faivre@orange.fr,0234604817,"79, chemin de Nicolas",86339,FR709859317,2024-03-20 02:36:48,INACTIF
41,Lejeune,Manon,1954-09-01,manon.lejeune@yahoo.fr,+33 (0)1 69 47 11 38,"67, boulevard de Humbert",75860,FR261796405,2023-06-30 06:28:58,INACTIF
42,Hebert,Capucine,1985-01-02,,+33 (0)4 98 85 06 43,rue Margaud Lecomte,82754,FR900532931,2026-05-12 02:24:32,SUSPENDU
43,Coste,Marc,1967-05-10,marc.coste@sfr.fr,0278904228,"11, rue Pelletier",97640,FR950240268,2022-08-12 07:59:14,ACTIF
44,Andre,Noémi,1996-08-26,noémi.andre@tiscali.fr,0245783908,"10, avenue Aurélie Torres",14602,FR711592124,2026-08-16 21:38:08,SUSPENDU
45,Mendès,Emmanuelle,1987-06-26,emmanuelle.mendès@dbmail.com,0631896118,"86, avenue Maillot",58508,FR615654527,2022-03-20 19:30:13,SUSPENDU
46,Clément,Éric,1994-06-03,éric.clément@hotmail.fr,+33 (0)5 08 28 09 88,"7, avenue Michelle Roux",36714,FR451983273,2022-07-26 11:01:43,ACTIF
47,Berthelot,Adèle,1951-04-12,adèle.berthelot@live.com,0369689980,"30, chemin Yves Marty",01285,FR296120183,2024-11-05 00:46:08,SUSPENDU
48,De Sousa,Astrid,1957-01-24,astrid.de sousa@dbmail.com,0468599102,"501, avenue Claire Seguin",56524,FR438156149,2025-10-14 03:38:56,INACTIF
49,Martineau,Édith,1941-10-28,,+33 5 40 90 03 43,"64, rue Mahe",95540,FR226838851,2025-01-08 21:27:12,INACTIF
50,Dupont,Nicole,1938-03-12,nicole.dupont@noos.fr,02 23 59 69 66,"7, chemin Picard",79571,FR516136968,2022-04-25 14:01:59,SUSPENDU
51,Ruiz,Anastasie,1965-10-19,anastasie.ruiz@dbmail.com,0322181883,"42, rue Boucher",25277,FR921277997,2026-06-13 01:14:21,INACTIF
52,Bousquet,Lucy,1978-09-02,lucy.bousquet@dbmail.com,+33 5 90 17 74 49,boulevard David Ruiz,59562,FR005411998,2024-11-30 18:46:21,SUSPENDU
53,Blin,Célina,1996-11-07,célina.blin@gmail.com,+33 4 73 97 82 07,rue Corinne Imbert,22140,FR377889255,2024-01-20 03:45:19,INACTIF
54,Lejeune,Amélie,1942-10-09,amélie.lejeune@dbmail.com,0188518644,"225, rue de Marty",39771,FR629148652,2026-02-14 16:24:48,SUSPENDU
55,Imbert,Éric,2004-11-06,éric.imbert@noos.fr,0146542357,"32, chemin Roussel",64889,FR880592962,2023-01-10 07:42:36,ACTIF
56,Jacquot,Jules,1995-03-18,jules.jacquot@free.fr,+33 (0)5 56 53 79 47,"834, chemin Potier",73551,FR746886239,2022-10-28 05:25:24,SUSPENDU
57,Roux,Philippe,1986-03-02,philippe.roux@tiscali.fr,+33 (0)2 53 41 24 78,"41, chemin André Legros",07505,FR853615305,2022-06-28 01:51:15,SUSPENDU
58,Delannoy,Virginie,1955-07-10,virginie.delannoy@dbmail.com,+33 1 69 47 27 79,rue Boucher,27955,FR289861434,2022-09-06 19:21:08,SUSPENDU
59,Dupuis,Benoît,1997-11-09,benoît.dupuis@noos.fr,+33 (0)2 46 79 80 89,"74, boulevard Benard",30684,FR621851888,2025-12-18 08:45:53,ACTIF
60,Lefebvre,Françoise,1999-08-18,françoise.lefebvre@ifrance.com,+33 (0)5 33 54 05 15,"6, rue Benard",69446,FR277221704,2023-05-12 13:23:42,ACTIF
61,Bourgeois,Benjamin,1978-08-06,benjamin.bourgeois@gmail.com,,"6, rue Susanne Tessier",55509,FR765277584,2022-05-07 21:38:29,SUSPENDU
62,Lamy,Nathalie,1994-04-01,nathalie.lamy@hotmail.fr,+33 4 49 51 15 44,"862, avenue Augustin Petitjean",45729,FR640165820,2022-11-10 20:05:22,ACTIF
63,Raynaud,Claude,1940-05-18,claude.raynaud@tele2.fr,+33 2 14 35 56 90,"67, avenue Paulette Garnier",73240,FR856543102,2025-11-21 17:05:45,ACTIF
64,Chevallier,Diane,1971-04-09,diane.chevallier@yahoo.fr,0603947312,rue Michèle Hebert,12929,FR551884422,2024-09-20 08:29:30,SUSPENDU
65,Hubert,Danielle,1962-12-30,danielle.hubert@yahoo.fr,+33 3 76 70 58 95,"229, chemin Chauvin",91836,FR786691251,2025-06-22 06:12:40,SUSPENDU
66,Bazin,Chantal,1982-07-13,chantal.bazin@wanadoo.fr,+33 3 29 26 80 18,"32, rue Adélaïde Paul",36966,FR143842498,2022-06-10 12:12:28,INACTIF
67,Clerc,Constance,1956-08-18,constance.clerc@free.fr,+33 4 81 90 01 09,"79, rue de Mahe",80658,FR447364710,2022-12-28 09:00:49,ACTIF
68,Legros,Brigitte,1998-11-08,brigitte.legros@tiscali.fr,+33 4 83 92 55 56,"98, chemin Guillot",59225,FR473210469,2025-03-15 08:04:02,INACTIF
69,Leroux,Paul,1978-03-16,paul.leroux@dbmail.com,+33 2 98 78 77 47,avenue Bodin,58346,FR395004797,2024-01-29 00:37:29,SUSPENDU
70,Petit,Élise,1994-04-17,élise.petit@yahoo.fr,+33 4 13 56 50 60,"935, rue Alice Bodin",57882,FR849912165,2024-07-12 17:42:48,ACTIF
71,Poulain,Frédérique,1962-09-26,frédérique.poulain@laposte.net,01 70 00 25 78,"99, chemin Raymond",40266,FR694958887,2026-06-08 04:21:22,ACTIF
72,Ollivier,Théophile,1985-10-11,théophile.ollivier@voila.fr,0246694097,"193, avenue de Picard",67744,FR962309130,2025-05-25 11:54:01,INACTIF
73,Humbert,Thomas,1991-11-06,thomas.humbert@laposte.net,+33 5 56 89 70 28,"957, chemin Jérôme Jacques",68450,FR854973348,2024-03-08 15:23:31,INACTIF
74,Léger,Maurice,1963-11-08,maurice.léger@club-internet.fr,04 71 75 84 41,"666, chemin Dupont",36831,FR157473384,2026-06-05 08:46:55,INACTIF
75,Maillard,Marthe,1950-07-05,marthe.maillard@laposte.net,+33 3 81 08 33 01,"27, rue de Thomas",70261,FR677345401,2026-07-13 00:10:01,ACTIF
76,Joubert,Nicolas,1959-06-21,nicolas.joubert@gmail.com,03 26 06 72 40,boulevard Josette Gautier,42391,FR788728743,2022-08-09 05:13:56,ACTIF
77,Goncalves,Vincent,1970-08-28,vincent.goncalves@tele2.fr,+33 1 44 54 93 29,"96, rue Andrée Laroche",13289,FR275304637,2023-12-01 18:13:14,ACTIF
78,Hernandez,Vincent,1971-03-29,vincent.hernandez@voila.fr,0375017426,"541, boulevard Matthieu Vasseur",18589,FR279568783,2023-10-02 02:02:27,ACTIF
79,Faivre,Maggie,2007-03-02,maggie.faivre@hotmail.fr,04 94 19 10 88,"382, boulevard Capucine Ferreira",87310,FR971870728,2025-03-06 21:58:56,ACTIF
80,Thibault,Cécile,1998-07-28,cécile.thibault@gmail.com,0148640391,chemin Martine Andre,69161,FR170462265,2024-11-24 13:25:43,INACTIF
81,Hoareau,Caroline,1946-07-26,caroline.hoareau@ifrance.com,+33 4 87 12 86 82,"10, avenue Margot Fouquet",69534,FR863375243,2022-08-09 19:59:15,INACTIF
82,Peltier,Arthur,1937-10-09,arthur.peltier@noos.fr,+33 3 59 11 90 79,"4, rue de Maréchal",56339,FR830284395,2026-07-23 09:19:26,SUSPENDU
83,Leleu,Joséphine,1967-11-20,joséphine.leleu@dbmail.com,0276836440,"926, rue Adélaïde Weiss",85490,FR856624628,2025-09-03 09:48:12,ACTIF
84,Jean,Olivier,1955-04-16,olivier.jean@club-internet.fr,01 80 86 68 82,"44, rue Catherine Lemaître",12648,FR304699013,2026-08-23 19:05:47,SUSPENDU
85,Leconte,Monique,2000-11-20,monique.leconte@sfr.fr,+33 4 79 40 33 17,"436, chemin de Diallo",36489,FR785445877,2022-06-26 14:26:36,INACTIF
86,Mace,Suzanne,1979-03-24,suzanne.mace@tiscali.fr,+33 4 99 56 09 32,boulevard Isabelle Delorme,92527,FR423536937,2026-05-01 00:33:51,SUSPENDU
87,Pottier,Marcelle,1970-08-31,marcelle.pottier@dbmail.com,07 67 25 22 87,"108, rue Salmon",01522,FR231203875,2022-02-28 01:10:06,ACTIF
88,Diaz,Laure,2002-01-15,laure.diaz@tiscali.fr,+33 (0)1 40 88 60 08,"58, boulevard Rocher",86540,FR211823398,2023-10-17 11:20:44,ACTIF
89,Monnier,Sylvie,1989-08-29,sylvie.monnier@bouygtel.fr,+33 (0)5 16 67 93 34,"1, avenue Gillet",48665,FR700217659,2022-06-16 12:22:29,ACTIF
90,Dupont,Éléonore,1964-06-01,éléonore.dupont@orange.fr,04 22 01 48 90,"40, rue de Chrétien",91940,FR614293968,2024-06-19 21:15:03,SUSPENDU
91,Faivre,Alice,1946-04-26,alice.faivre@laposte.net,0178163159,"165, chemin de Lebreton",62333,FR586629619,2024-02-27 22:46:17,SUSPENDU
92,Hoarau,Susanne,1946-10-23,susanne.hoarau@hotmail.fr,0290626551,chemin Hebert,46879,FR412126788,2026-01-02 08:02:24,SUSPENDU
93,Henry,Anouk,1947-11-03,anouk.henry@voila.fr,0235995604,"91, boulevard Dijoux",21801,FR622444721,2023-01-25 17:34:06,ACTIF
94,Baron,Bernadette,1976-06-09,bernadette.baron@noos.fr,02 23 54 37 99,"31, rue Anastasie Le Roux",79489,FR575692459,2023-05-10 06:15:12,INACTIF
95,Bouvier,Christiane,1989-11-04,christiane.bouvier@free.fr,0444793564,"41, boulevard de Arnaud",87886,FR807374167,2022-10-30 15:37:42,INACTIF
96,Bailly,Luce,1970-01-12,luce.bailly@orange.fr,+33 5 63 61 79 79,"986, chemin Boutin",68708,FR113529096,2024-06-19 11:19:23,ACTIF
97,Perret,Stéphanie,1937-01-29,,+33 (0)3 89 38 88 99,"75, boulevard Marie Charrier",20453,FR071461125,2024-04-19 05:54:39,SUSPENDU
98,Pineau,Zacharie,2006-07-26,zacharie.pineau@sfr.fr,04 87 71 77 51,"2, chemin Jourdan",14793,FR238282586,2025-07-29 18:56:10,ACTIF
99,Lebon,Nicolas,1961-01-04,nicolas.lebon@free.fr,05 40 09 37 96,"4, chemin Chrétien",90928,FR191825537,2022-08-13 06:46:46,INACTIF
100,Leconte,Rémy,2007-06-19,rémy.leconte@tiscali.fr,0533969155,"224, rue de Bouvier",16344,FR412528669,2022-10-26 13:48:42,INACTIF
101,Jacob,Hortense,1960-12-03,hortense.jacob@noos.fr,03 24 82 74 22,"19, rue Claire Dufour",24934,FR688767677,2023-01-25 21:00:18,SUSPENDU
102,Moreno,Émile,1965-08-28,émile.moreno@voila.fr,0158438427,"98, boulevard Noël",34893,FR858078361,2023-10-02 06:58:36,SUSPENDU
103,David,Théophile,1971-05-31,théophile.david@tele2.fr,0232713395,"362, rue Lopez",72459,FR849825449,2023-12-02 20:13:28,SUSPENDU
104,Potier,Denise,1954-02-05,denise.potier@yahoo.fr,01 81 42 23 25,"37, chemin de Techer",53484,FR711684577,2024-06-06 02:08:18,ACTIF
105,Bernard,Inès,1998-01-14,inès.bernard@hotmail.fr,0183863637,"64, boulevard de Dumont",72972,FR750017012,2025-05-26 06:20:47,SUSPENDU
106,Martin,Cécile,1963-03-07,cécile.martin@noos.fr,+33 4 58 24 15 41,"70, chemin de Pages",89873,FR361103712,2023-07-27 23:41:39,SUSPENDU
107,Bazin,Diane,1936-11-27,diane.bazin@tele2.fr,+33 (0)4 84 16 27 13,"2, chemin Tessier",38240,FR622189092,2025-05-22 13:52:20,SUSPENDU
108,Mace,Adèle,1956-03-30,adèle.mace@sfr.fr,05 94 31 12 19,"75, rue Paul Baron",82186,FR389994043,2026-01-18 19:51:15,INACTIF
109,Grégoire,Julie,1988-12-17,julie.grégoire@sfr.fr,0178376137,"118, chemin Gilles Chevallier",72530,FR582710910,2023-11-16 19:37:56,ACTIF
110,Fournier,Martin,1989-10-22,martin.fournier@gmail.com,0558661889,"51, boulevard Martins",20649,FR569146303,2022-05-19 02:10:22,INACTIF
111,Ferreira,Bernadette,1943-02-18,bernadette.ferreira@tele2.fr,0325102027,"384, rue Océane Valette",34850,FR105648149,2022-04-20 16:26:21,ACTIF
112,Pineau,Colette,1984-08-27,colette.pineau@wanadoo.fr,+33 (0)8 09 25 24 19,"4, boulevard de Bernard",06979,FR030756220,2026-05-07 22:16:02,SUSPENDU
113,Delannoy,Suzanne,1966-03-14,suzanne.delannoy@noos.fr,0384654195,rue de Colin,28923,FR806174451,2026-05-08 15:09:52,SUSPENDU
114,Petit,Cécile,1962-12-15,,0463937597,"132, rue Nicolas Allard",44751,FR050641383,2025-03-20 13:25:08,SUSPENDU
115,Lopez,Claudine,1973-09-23,claudine.lopez@laposte.net,+33 (0)1 73 38 65 71,"9, avenue Sanchez",75681,FR062344565,2024-05-08 09:47:00,INACTIF
116,Maillard,Catherine,1945-10-22,catherine.maillard@orange.fr,+33 2 61 91 21 27,"26, chemin de Pires",26562,FR474112490,2023-06-23 06:47:34,ACTIF
117,Millet,Victoire,1948-01-22,victoire.millet@laposte.net,+33 4 91 68 04 42,avenue Frédérique Bouvet,70355,FR171210032,2023-05-01 19:33:02,ACTIF
118,Maréchal,Valentine,1947-01-30,valentine.maréchal@live.com,0222013721,"1, rue Jean Baudry",55941,FR670662532,2023-12-26 13:48:29,ACTIF
119,Cohen,Roger,1940-05-11,roger.cohen@laposte.net,+33 4 50 76 87 01,"72, boulevard Menard",80921,FR806578759,2025-12-02 02:50:15,SUSPENDU
120,Chevallier,Tristan,1960-02-12,tristan.chevallier@bouygtel.fr,+33 (0)4 72 93 04 07,"49, rue Hoarau",84346,FR480396522,2023-08-29 04:12:43,SUSPENDU
121,Prévost,Jeanne,1939-06-26,jeanne.prévost@live.com,0272937842,"2, rue Marion",28120,FR870593252,2024-05-25 14:12:43,ACTIF
122,Simon,Charles,1954-12-03,charles.simon@laposte.net,+33 (0)4 95 15 69 15,"32, avenue de Riou",62764,FR528953926,2024-04-03 12:04:44,ACTIF
123,Lagarde,Nath,1952-12-22,nath.lagarde@club-internet.fr,,"239, rue Vincent Vallet",10343,FR552157043,2023-10-08 12:47:47,SUSPENDU
124,Mercier,Marine,1970-07-29,marine.mercier@live.com,+33 (0)1 30 06 76 26,"95, rue Véronique Voisin",97683,FR327104054,2022-07-15 14:32:48,INACTIF
125,Le Goff,David,1986-09-29,david.le goff@free.fr,+33 2 22 81 59 97,"7, rue de Seguin",55260,FR015336884,2024-01-15 21:33:46,ACTIF
126,Gomez,Théophile,1942-05-26,théophile.gomez@yahoo.fr,07 62 05 06 14,"273, rue Picard",81398,FR171467741,2026-04-10 18:39:30,ACTIF
127,Gonzalez,Amélie,1987-07-23,amélie.gonzalez@live.com,,"19, rue Clément",85452,FR869380686,2026-03-15 00:31:46,INACTIF
128,Ollivier,Marianne,2000-06-18,marianne.ollivier@orange.fr,0228608989,"821, rue Lecomte",24229,FR061632945,2022-03-20 10:27:16,INACTIF
129,Chevallier,Emmanuel,1980-01-11,emmanuel.chevallier@ifrance.com,0633099861,"22, boulevard Valette",13904,FR485646799,2025-09-01 22:35:37,ACTIF
130,Giraud,Auguste,1990-06-27,auguste.giraud@bouygtel.fr,+33 5 47 06 53 07,"60, chemin Roger Marin",89801,FR132475469,2022-05-28 15:23:29,INACTIF
131,Pichon,Laurent,1991-01-22,laurent.pichon@sfr.fr,05 16 08 21 48,"18, rue Bourgeois",08355,FR070534578,2025-01-08 11:50:33,INACTIF
132,Denis,Luce,1968-07-27,luce.denis@voila.fr,0759727985,"24, rue Alice Girard",20974,FR933334680,2021-09-20 21:09:46,SUSPENDU
133,Payet,Christelle,1936-10-17,christelle.payet@free.fr,+33 3 86 94 46 65,"83, boulevard Valérie Ferrand",50698,FR108589944,2022-07-26 02:32:20,ACTIF
134,Andre,Christine,1973-04-10,christine.andre@dbmail.com,0427443283,avenue de Peltier,40797,FR207446660,2026-08-09 15:04:45,ACTIF
135,Masse,Mathilde,1982-05-07,mathilde.masse@sfr.fr,+33 6 75 84 28 24,rue Nicole Poirier,92927,FR825135346,2024-06-18 14:28:38,ACTIF
136,Bertin,Alix,1998-10-05,alix.bertin@club-internet.fr,+33 (0)6 40 99 91 73,"7, chemin de Pasquier",07991,FR223569725,2023-03-07 14:03:22,SUSPENDU
137,Faure,Renée,1980-11-30,renée.faure@tiscali.fr,+33 4 69 00 74 32,"27, boulevard Gay",81539,FR667600835,2021-10-06 23:20:49,SUSPENDU
138,Boulay,Tristan,1961-07-31,tristan.boulay@wanadoo.fr,+33 (0)1 39 33 54 21,"394, rue Léger",37566,FR898562575,2023-04-01 15:44:40,ACTIF
139,Antoine,Jacques,1966-09-24,jacques.antoine@voila.fr,+33 2 57 30 98 21,"7, chemin de Pires",68738,FR090100167,2024-11-17 15:27:24,ACTIF
140,Lévy,Gérard,2000-03-17,gérard.lévy@bouygtel.fr,+33 3 59 04 61 84,"226, boulevard de Lemaire",36216,FR173934835,2025-02-17 07:19:12,SUSPENDU
141,Renard,Théodore,2003-03-13,théodore.renard@gmail.com,+33 6 98 53 00 11,"22, rue de Ramos",92203,FR437447012,2021-12-24 18:52:39,SUSPENDU
142,Charpentier,Dominique,1978-03-15,dominique.charpentier@live.com,02 49 10 02 25,"59, rue de Guichard",43287,FR166746762,2022-08-10 11:47:21,SUSPENDU
143,Grenier,Gilles,1957-05-03,gilles.grenier@gmail.com,+33 (0)5 59 97 97 29,"19, rue de Guillet",62215,FR670145089,2026-06-14 16:02:46,SUSPENDU
144,Laroche,Maurice,2006-04-17,maurice.laroche@dbmail.com,+33 (0)5 81 37 56 28,"1, rue de Bodin",60972,FR721753540,2025-12-16 05:04:18,INACTIF
145,Dias,Maurice,1990-07-13,maurice.dias@ifrance.com,+33 2 28 77 97 17,"81, rue de Henry",51522,FR088019948,2026-06-06 08:14:12,INACTIF
146,Bègue,Lucas,1982-01-12,lucas.bègue@tele2.fr,0178375899,"27, rue Bernard",43463,FR488510272,2025-02-15 14:38:48,ACTIF
147,Adam,Franck,1961-03-02,franck.adam@sfr.fr,+33 (0)5 36 37 35 16,boulevard de Denis,97367,FR798270808,2025-04-29 22:21:43,INACTIF
148,Mary,Virginie,2004-10-29,virginie.mary@tiscali.fr,+33 3 24 21 69 95,"46, avenue Zacharie Cousin",57924,FR226984858,2023-06-30 11:55:00,SUSPENDU
149,Lacroix,Luc,1982-08-21,luc.lacroix@club-internet.fr,+33 3 27 88 51 58,"996, avenue Susan Richard",66209,FR062003424,2023-10-11 16:51:50,ACTIF
150,Bonnet,William,1963-05-29,william.bonnet@club-internet.fr,+33 (0)4 92 71 98 38,"58, rue de Weber",49526,FR580043973,2024-10-09 18:26:46,SUSPENDU
151,Pruvost,Olivie,1961-12-23,olivie.pruvost@sfr.fr,0612122816,chemin Frédérique Aubry,17264,FR940572025,2022-01-29 05:44:15,INACTIF
152,Toussaint,Philippine,2002-05-29,philippine.toussaint@club-internet.fr,0221583281,"96, avenue de Morin",44326,FR355543987,2026-06-03 05:49:43,INACTIF
153,Chrétien,Valentine,1951-04-04,valentine.chrétien@voila.fr,0603993056,chemin Élodie Ramos,36125,FR858877043,2024-05-15 09:55:52,SUSPENDU
154,Perez,Denise,1958-06-05,denise.perez@yahoo.fr,+33 (0)1 88 33 61 38,"31, avenue Wagner",42138,FR110248193,2023-11-05 19:52:15,SUSPENDU
155,Chevallier,Anouk,1990-09-09,anouk.chevallier@tele2.fr,04 70 06 18 09,boulevard de Lambert,89968,FR158144914,2025-05-15 01:10:48,ACTIF
156,Delaunay,Alex,2000-02-26,alex.delaunay@voila.fr,+33 3 66 26 84 24,"90, rue de Denis",06105,FR996881435,2023-06-13 01:55:54,SUSPENDU
157,Imbert,Antoinette,1955-01-12,antoinette.imbert@wanadoo.fr,+33 3 39 39 43 12,"808, boulevard de Legrand",37787,FR141397552,2023-08-22 21:43:04,ACTIF
158,Jacquet,Eugène,1961-12-23,eugène.jacquet_at_hotmail.fr,0737594929,"75, rue Bouvier",31904,FR364525777,2024-09-11 19:23:36,INACTIF
159,Schneider,Philippine,1950-06-16,philippine.schneider@tiscali.fr,+33 2 29 42 83 41,"1, rue de Blin",74514,FR930848872,2024-10-03 19:05:43,INACTIF
160,Hubert,Anaïs,1953-11-12,anaïs.hubert@club-internet.fr,02 34 65 80 39,"38, rue Joseph Moreno",72775,FR275037314,2024-10-15 00:45:54,ACTIF
161,Dupont,Nicolas,2006-02-16,nicolas.dupont@sfr.fr,0533770051,"944, rue de Mallet",83487,FR591846386,2024-08-24 15:39:48,INACTIF
162,Barre,Thérèse,2001-04-04,thérèse.barre@tiscali.fr,+33 (0)2 69 72 31 84,"32, boulevard Michelle Lemaire",84335,FR651777392,2025-02-20 20:32:48,ACTIF
